Numero_dossier_ID,Client,Formule,date.ouverture,heure.ouverture,Matricule.de.traitement,Cause.intervention,date.de.survenance,Type.d.energie,Outil.d.assistance,Assistance.ou.Administratif,TOP.D.R,TOP.VR,TOP.Rappat.valide,TOP.Poursuite,TOP.Recup,TOP.Autres.Garanties,flag_auto_creation,mois_ouverture,temps_total_sec,nb_intervenants,temps_total_min,Apprentissage_Test,mois
7529180,C0,F18,2021-04-03,12:19:00,728,Accident,2021-04-03,Diesel,MCS,Assistance,1,0,0,0,0,0,0,2021-04,438.0,2.0,7.3,Apprentissage,2021-04
5712544,C1,F18,2022-05-30,14:30:00,1072,,2022-05-30,Diesel,MCS,Assistance,1,0,0,0,0,0,0,2022-05,136.0,1.0,2.2666666666666666,Apprentissage,2022-05
8277707,C1,F18,2022-04-15,20:09:00,486,Accident,2022-04-15,Essence,MCS,Assistance,1,0,0,0,0,0,0,2022-04,0.0,1.0,0.0,Test,2022-04
7418576,C11,F25,2022-09-20,17:45:00,603,Panne mécanique,,Essence,MCS,Assistance,1,0,0,0,0,0,0,2022-09,429.0,1.0,7.15,Apprentissage,2022-09
6445241,C3,F24,2022-01-03,10:51:00,1626,Panne mécanique,2022-01-03,Diesel,Higgins,Assistance,1,0,0,0,0,0,0,2022-01,536.0,1.0,8.933333333333334,Apprentissage,2022-01
8308340,C1,F6,2022-05-09,14:19:00,477,Panne mécanique,2022-05-09,Essence,Higgins,Assistance,1,0,0,0,0,0,0,2022-05,0.0,2.0,0.0,Test,2022-05
5881940,C4,F4,2021-09-22,15:57:00,987,Panne mécanique,2021-09-22,Diesel,MCS,,1,0,0,0,0,0,0,2021-09,143.0,2.0,2.3833333333333333,Apprentissage,2021-09
7328591,C3,F3,2022-03-23,08:57:00,453,Panne mécanique,2022-03-23,Essence,Higgins,Assistance,1,0,0,0,0,0,0,2022-03,587.0,2.0,9.783333333333333,Apprentissage,2022-03
7205711,C12,F26,2021-11-05,14:24:00,211,Accident,2021-11-05,Essence,MCS,Assistance,1,0,0,0,0,0,0,2021-11,201.0,1.0,3.35,Apprentissage,2021-11
7121694,C25,F79,2022-04-01,16:45:00,1217,Panne mécanique,2022-04-01,Diesel,MCS,,1,0,0,0,0,0,0,2022-04,919.0,4.0,15.316666666666666,Apprentissage,2022-04
5680729,C1,F1,2021-01-14,16:52:00,651,"Clés, Carburant, Crevaison",2021-01-14,Essence,MCS,Assistance,1,0,0,0,0,0,0,2021-01,560.0,2.0,9.333333333333334,Apprentissage,2021-01
6816394,C4,F4,2021-11-10,18:03:00,614,Panne mécanique,2021-11-10,Essence,MCS,Assistance,1,0,1,0,0,0,0,2021-11,342.0,2.0,5.7,Apprentissage,2021-11
7256841,C4,,2021-08-04,21:05:00,1618,Accident,2021-08-04,Diesel,MCS,Assistance,1,0,0,0,0,0,0,2021-08,705.0,4.0,11.75,Apprentissage,2021-08
8116742,C3,F3,2021-04-01,14:40:00,671,Panne mécanique,2021-04-01,Diesel,MCS,Assistance,1,0,0,0,0,0,0,2021-04,1003.0,3.0,16.716666666666665,Apprentissage,2021-04
8353039,C3,F63,2022-10-11,08:49:00,1305,"Clés, Carburant, Crevaison",2022-10-11,Electricité,Higgins,Assistance,1,0,0,0,0,0,0,2022-10,0.0,2.0,0.0,Test,2022-10
6842174,C3,F3,2022-08-14,14:28:00,1264,Panne mécanique,2022-08-14,Hybride,MCS,Assistance,1,0,0,0,0,0,0,2022-08,636.0,2.0,10.6,Apprentissage,2022-08
7957000,C4,F8,2021-11-13,05:12:00,1383,Accident,2021-11-13,Essence,MCS,Assistance,1,0,0,0,0,0,0,2021-11,3794.0,7.0,63.233333333333334,Apprentissage,2021-11
7437581,C3,F10,2021-02-20,11:52:00,1070,Accident,2021-02-20,Essence,MCS,Assistance,1,0,0,0,0,0,0,2021-02,1112.0,2.0,18.533333333333335,Apprentissage,2021-02
6907008,C5,F36,2022-07-03,25:00:00,1151,"Clés, Carburant, Crevaison",2022-07-03,Essence,MCS,Assistance,1,1,0,0,0,0,0,2022-07,1958.0,4.0,32.63333333333333,Apprentissage,2022-07
7959734,C3,F7,2022-03-07,09:07:00,693,Panne mécanique,2022-03-07,Diesel,Higgins,,0,0,0,0,0,1,0,2022-03,798.0,2.0,13.3,Apprentissage,2022-03
8341789,C1,F6,2022-03-22,14:42:00,898,Accident,2022-03-22,Diesel,MCS,Assistance,0,0,1,0,0,0,0,2022-03,0.0,3.0,0.0,Test,2022-03
8414725,C8,F32,2021-10-20,11:40:00,770,Panne mécanique,2021-10-20,Essence,MCS,Assistance,1,0,0,0,0,0,0,2021-10,0.0,1.0,0.0,Test,2021-10
6855648,C3,F5,2021-02-08,18:22:00,1116,Panne mécanique,2021-02-08,Essence,Higgins,Assistance,1,0,0,0,0,0,0,2021-02,1675.0,3.0,27.916666666666668,Apprentissage,2021-02
6768357,C15,F197,2021-10-19,17:45:00,410,Accident,2021-10-19,Autre,MCS,Assistance,1,0,0,0,0,0,0,2021-10,631.0,3.0,10.516666666666667,Apprentissage,2021-10
7774198,C8,F55,2022-09-02,19:39:00,464,Panne mécanique,2022-09-02,Diesel,MCS,Assistance,1,0,0,0,0,0,0,2022-09,1544.0,2.0,25.733333333333334,Apprentissage,2022-09
6381960,C4,F4,2022-01-31,14:52:00,299,Panne mécanique,2022-01-27,Essence,Higgins,Assistance,1,0,0,0,0,0,0,2022-01,448.0,1.0,7.466666666666667,Apprentissage,2022-01
5639004,C3,F7,2022-08-18,11:41:00,171,Panne mécanique,2022-08-18,Diesel,MCS,Assistance,1,0,0,0,0,0,1,2022-08,,,,Test,2022-08
8351997,C10,F124,2022-08-06,14:32:00,1578,Panne mécanique,2022-08-06,Diesel,MCS,Assistance,1,0,0,0,0,0,0,2022-08,0.0,3.0,0.0,Test,2022-08
6116590,C10,F20,2021-03-11,11:03:00,154,Panne mécanique,2021-03-11,,MCS,Assistance,1,0,0,0,0,0,0,2021-03,866.0,6.0,14.433333333333334,Apprentissage,2021-03
8182460,C7,F12,2022-05-30,11:46:00,141,"Clés, Carburant, Crevaison",2022-05-30,Essence,MCS,Assistance,1,0,0,0,0,0,0,2022-05,1793.0,3.0,29.883333333333333,Apprentissage,2022-05
8436909,C1,F0,2022-03-24,09:53:00,1088,Vol / Vandalisme,2022-03-24,Hybride,MCS,Assistance,1,0,0,0,0,0,0,2022-03,0.0,5.0,0.0,Test,2022-03
8064679,C8,F175,2022-07-21,18:01:00,288,Panne mécanique,2022-07-21,Hybride,MCS,Assistance,1,1,0,0,0,0,0,2022-07,2200.0,8.0,36.666666666666664,Apprentissage,2022-07
7496281,C1,F0,2022-12-30,11:09:00,1739,Panne mécanique,2022-12-29,Essence,MCS,Assistance,1,0,0,0,0,0,0,2022-12,594.0,1.0,9.9,Apprentissage,2022-12
5485956,C4,F8,2022-10-02,09:07:00,904,Accident,2022-10-02,Autre,Higgins,Assistance,1,0,0,0,0,0,0,2022-10,1565.0,2.0,26.083333333333332,Apprentissage,2022-10
7286218,C9,F15,2021-02-10,11:04:00,884,"Clés, Carburant, Crevaison",2021-02-10,Essence,MCS,Assistance,1,0,0,0,0,0,0,2021-02,236.0,2.0,3.933333333333333,Apprentissage,2021-02
6149359,C1,F71,2022-09-24,09:28:00,739,Panne mécanique,2022-09-24,Diesel,Higgins,Assistance,0,0,0,0,0,0,0,2022-09,862.0,2.0,14.366666666666667,Apprentissage,2022-09
7227203,C7,F21,2021-07-20,17:56:00,1153,Accident,2021-07-20,Diesel,MCS,Assistance,1,0,0,0,0,0,0,2021-07,313.0,1.0,5.216666666666667,Apprentissage,2021-07
7984376,C1,F18,2022-09-12,11:25:00,902,Panne mécanique,2022-09-12,Diesel,MCS,Assistance,1,0,0,1,0,0,0,2022-09,5536.0,9.0,92.26666666666667,Apprentissage,2022-09
6169121,C3,F10,2022-02-25,11:04:00,1577,Panne mécanique,2022-02-25,Diesel,MCS,,1,0,0,0,0,0,0,2022-02,1089.0,3.0,18.15,Apprentissage,2022-02
8427312,C1,F0,2021-05-13,18:47:00,415,,2021-05-13,Diesel,MCS,Assistance,1,0,1,0,0,0,0,2021-05,0.0,5.0,0.0,Test,2021-05
5520531,C4,F4,2021-02-05,14:48:00,584,Vol / Vandalisme,2021-02-03,Essence,MCS,Assistance,1,0,0,0,0,0,0,2021-02,420.0,1.0,7.0,Apprentissage,2021-02
8325725,C1,F6,2021-08-16,12:34:00,1215,Panne mécanique,2021-08-16,Diesel,MCS,Assistance,1,0,0,0,0,0,0,2021-08,0.0,1.0,0.0,Test,2021-08
7499213,C3,F5,2021-06-02,13:38:00,180,Panne mécanique,2021-06-02,Essence,Higgins,Assistance,1,0,0,0,0,0,0,2021-06,257.0,2.0,4.283333333333333,Apprentissage,2021-06
5849085,C4,F23,2021-11-27,07:30:00,346,Panne mécanique,2021-11-27,Diesel,MCS,Assistance,1,0,1,0,0,0,0,2021-11,544.0,2.0,9.066666666666666,Apprentissage,2021-11
5727344,C10,F17,2022-07-22,17:24:00,691,Panne mécanique,2022-07-22,Hybride,MCS,Assistance,1,0,0,0,0,0,0,2022-07,469.0,1.0,7.816666666666666,Apprentissage,2022-07
7085257,C14,F310,2021-04-07,15:37:00,956,Panne mécanique,2021-04-07,Autre,MCS,Assistance,1,0,0,0,0,0,0,2021-04,1337.0,1.0,22.283333333333335,Apprentissage,2021-04
6826884,C0,F1,2021-09-25,17:37:00,201,Panne mécanique,2021-09-25,Diesel,MCS,Assistance,1,0,0,0,0,0,0,2021-09,724.0,2.0,12.066666666666666,Apprentissage,2021-09
7661209,C15,F33,2022-04-19,18:10:00,707,"Clés, Carburant, Crevaison",2022-04-19,Autre,Higgins,Assistance,1,0,0,0,0,0,0,2022-04,269.0,2.0,4.483333333333333,Apprentissage,2022-04
7807024,C4,F4,2021-12-28,16:49:00,632,Panne mécanique,2021-12-28,Diesel,MCS,Assistance,1,0,1,0,0,0,0,2021-12,2683.0,9.0,44.71666666666667,Apprentissage,2021-12
6864283,C7,F43,2022-09-22,12:14:00,467,"Clés, Carburant, Crevaison",2022-09-22,Diesel,MCS,Assistance,1,0,0,0,0,0,0,2022-09,735.0,3.0,12.25,Apprentissage,2022-09
5781086,C11,F25,2022-09-24,12:53:00,1288,Vol / Vandalisme,2022-09-24,Essence,MCS,,0,0,0,0,0,0,0,2022-09,676.0,3.0,11.266666666666667,Apprentissage,2022-09
7048675,C25,F79,2021-11-05,11:07:00,129,Panne mécanique,2021-11-05,Diesel,MCS,Assistance,1,0,0,0,0,0,0,2021-11,368.0,3.0,6.133333333333334,Apprentissage,2021-11
6891828,C1,F6,2021-01-27,17:16:00,1192,"Clés, Carburant, Crevaison",2021-01-27,Essence,MCS,Assistance,1,0,0,0,0,0,0,2021-01,438.0,2.0,7.3,Apprentissage,2021-01
5669449,C3,F7,2022-12-27,15:27:00,1820,"Clés, Carburant, Crevaison",2022-12-27,Diesel,MCS,Assistance,1,0,0,0,0,0,0,2022-12,1509.0,2.0,25.15,Apprentissage,2022-12
6209669,C4,F8,2022-04-14,12:23:00,162,,2022-04-14,Essence,MCS,Assistance,1,1,0,0,0,0,0,2022-04,3433.0,5.0,57.21666666666667,Apprentissage,2022-04
5513658,C3,,2022-06-25,18:36:00,1111,Panne mécanique,2022-06-25,Essence,Higgins,Assistance,1,0,1,0,0,0,0,2022-06,2395.0,4.0,39.916666666666664,Apprentissage,2022-06
6906850,C3,F3,2022-04-04,15:27:00,1110,"Clés, Carburant, Crevaison",2022-04-04,Diesel,MCS,,1,0,0,0,0,0,0,2022-04,744.0,1.0,12.4,Apprentissage,2022-04
7950393,C5,F122,2021-06-18,16:20:00,455,Panne mécanique,2021-06-18,Electricité,MCS,Assistance,1,0,0,0,0,0,0,2021-06,7221.0,10.0,120.35,Apprentissage,2021-06
6945783,C4,F4,2022-06-02,09:09:00,947,Panne mécanique,2022-06-02,Diesel,MCS,Assistance,1,0,0,0,0,0,0,2022-06,224.0,3.0,3.7333333333333334,Apprentissage,2022-06
8286016,C4,F8,2022-09-22,11:05:00,171,"Clés, Carburant, Crevaison",2022-09-22,Diesel,MCS,Assistance,1,0,0,0,0,0,1,2022-09,,,,Test,2022-09
7049821,C5,F101,2022-05-23,08:34:00,567,Accident,2022-05-23,Hybride,MCS,Assistance,1,0,0,0,0,0,0,2022-05,320.0,1.0,5.333333333333333,Apprentissage,2022-05
6102868,C4,F8,2021-11-21,15:46:00,322,"Clés, Carburant, Crevaison",2021-11-21,Autre,MCS,Assistance,1,0,0,0,0,0,0,2021-11,594.0,1.0,9.9,Apprentissage,2021-11
7696730,C5,F129,2021-01-28,12:25:00,1706,Panne mécanique,2021-01-28,Essence,MCS,Assistance,1,0,0,0,0,0,0,2021-01,851.0,3.0,14.183333333333334,Apprentissage,2021-01
8348941,C1,F6,2022-06-26,10:33:00,1510,Panne mécanique,2022-06-26,Essence,Higgins,Assistance,1,0,0,0,0,0,0,2022-06,0.0,10.0,0.0,Test,2022-06
8179320,C1,F0,2022-05-25,07:53:00,1519,Panne mécanique,2022-05-25,Essence,Higgins,,1,0,0,0,0,0,0,2022-05,429.0,1.0,7.15,Apprentissage,2022-05
6867142,C1,F0,2021-12-03,09:20:00,1365,Panne mécanique,2021-12-02,Essence,Higgins,Assistance,1,0,0,0,0,0,0,2021-12,574.0,2.0,9.566666666666666,Apprentissage,2021-12
6341327,C5,F122,2021-03-01,17:52:00,137,Panne mécanique,2021-03-01,Essence,MCS,Assistance,0,0,0,0,0,0,0,2021-03,733.0,1.0,12.216666666666667,Apprentissage,2021-03
8305962,C1,F6,2021-03-19,14:01:00,1879,Panne mécanique,2021-03-17,Diesel,MCS,Assistance,1,0,0,0,0,0,0,2021-03,0.0,3.0,0.0,Test,2021-03
5753472,C1,F1,2022-07-17,16:42:00,890,Vol / Vandalisme,2022-07-17,Autre,MCS,Assistance,0,0,1,0,0,0,0,2022-07,6044.0,18.0,100.73333333333333,Apprentissage,2022-07
5570735,C4,F4,2021-03-29,10:53:00,771,Panne mécanique,2021-03-29,Essence,MCS,Assistance,1,0,0,0,0,0,0,2021-03,142.0,1.0,2.3666666666666667,Apprentissage,2021-03
6185290,C4,F4,2022-02-04,11:29:00,161,Panne mécanique,2022-02-04,Essence,Higgins,Assistance,1,0,0,0,0,0,0,2022-02,1030.0,2.0,17.166666666666668,Apprentissage,2022-02
7581682,C3,F308,2022-09-20,11:55:00,999,Panne mécanique,2022-09-20,Essence,MCS,Assistance,1,0,0,0,0,0,0,2022-09,452.0,1.0,7.533333333333333,Apprentissage,2022-09
5650616,C14,F31,2021-10-14,01:57:00,1259,Panne mécanique,2021-10-14,Autre,MCS,Assistance,1,0,0,0,0,0,0,2021-10,279.0,1.0,4.65,Apprentissage,2021-10
6534217,C4,,2022-05-15,05:49:00,1335,Accident,2022-05-15,Diesel,MCS,Assistance,1,0,1,0,0,0,0,2022-05,2845.0,9.0,47.416666666666664,Apprentissage,2022-05
5622794,C10,F17,2021-10-05,10:30:00,1098,Panne mécanique,2021-10-05,Diesel,MCS,Assistance,1,0,0,0,0,0,0,2021-10,290.0,1.0,4.833333333333333,Apprentissage,2021-10
6651080,C8,F89,2022-12-05,12:42:00,808,Panne mécanique,2022-12-05,Electricité,MCS,Assistance,1,0,0,0,0,0,0,2022-12,782.0,4.0,13.033333333333333,Apprentissage,2022-12
7149475,C1,F0,2022-02-21,06:49:00,1134,Panne mécanique,2022-02-21,Diesel,MCS,Assistance,1,0,0,0,0,0,0,2022-02,941.0,2.0,15.683333333333334,Apprentissage,2022-02
7141153,C4,F4,2022-12-11,10:07:00,1293,Panne mécanique,2022-12-10,Diesel,Higgins,Assistance,1,0,0,0,0,0,0,2022-12,3839.0,9.0,63.983333333333334,Apprentissage,2022-12
6815958,C14,F31,2022-12-17,09:36:00,479,Panne mécanique,2022-12-17,Diesel,MCS,Assistance,1,0,0,0,0,0,0,2022-12,391.0,2.0,6.516666666666667,Apprentissage,2022-12
5966453,C1,,2021-06-23,13:58:00,1573,Panne mécanique,2021-06-23,Essence,MCS,Assistance,1,0,0,0,0,0,0,2021-06,276.0,2.0,4.6,Apprentissage,2021-06
8220489,C1,F1,2021-11-28,22:07:00,329,Accident,2021-11-28,Essence,MCS,Assistance,1,0,1,0,0,0,0,2021-11,0.0,3.0,0.0,Test,2021-11
6472367,C3,F5,2021-01-25,07:49:00,687,Panne mécanique,2021-01-25,Diesel,MCS,Assistance,1,0,0,0,0,0,0,2021-01,234.0,1.0,3.9,Apprentissage,2021-01
7195313,C3,F192,2022-07-05,09:31:00,1189,Panne mécanique,2022-07-04,Essence,Higgins,Assistance,1,0,0,0,0,0,0,2022-07,270.0,2.0,4.5,Apprentissage,2022-07
6921898,C4,F4,2021-04-18,08:46:00,1996,Panne mécanique,2021-04-18,Diesel,MCS,,1,0,0,0,0,0,0,2021-04,272.0,1.0,4.533333333333333,Apprentissage,2021-04
7136389,C7,,2022-01-21,20:27:00,867,Accident,2022-01-21,Diesel,MCS,Assistance,1,0,0,0,0,0,0,2022-01,241.0,1.0,4.016666666666667,Apprentissage,2022-01
7151700,C3,F10,2022-02-19,16:13:00,1199,Panne mécanique,2022-02-19,Essence,Higgins,Assistance,1,0,0,0,0,0,0,2022-02,162.0,2.0,2.7,Apprentissage,2022-02
7793486,C4,F8,2021-06-07,08:30:00,864,Panne mécanique,2021-06-07,Essence,Higgins,Assistance,1,1,0,0,0,1,0,2021-06,19623.0,14.0,327.05,Apprentissage,2021-06
8010653,C4,F4,2022-05-10,18:21:00,875,Accident,2022-05-10,Diesel,MCS,Assistance,1,0,0,0,0,0,0,2022-05,359.0,2.0,5.983333333333333,Apprentissage,2022-05
6523167,C5,F99,2022-11-28,17:01:00,465,Panne mécanique,2022-11-28,Diesel,MCS,Assistance,1,0,0,0,0,0,0,2022-11,960.0,2.0,16.0,Apprentissage,2022-11
6764627,C1,F0,2022-06-02,08:44:00,1305,Panne mécanique,2022-06-02,Diesel,Higgins,Assistance,1,0,0,0,0,0,0,2022-06,284.0,1.0,4.733333333333333,Apprentissage,2022-06
6979975,C35,F63,2021-10-19,08:41:00,382,Accident,2021-10-19,Diesel,MCS,Assistance,1,0,0,0,0,0,0,2021-10,4995.0,5.0,83.25,Apprentissage,2021-10
7581969,C10,F20,2022-09-05,09:00:00,606,Panne mécanique,2022-09-05,Diesel,MCS,Assistance,1,0,0,0,0,0,0,2022-09,759.0,3.0,12.65,Apprentissage,2022-09
6942399,C1,F6,2022-06-26,10:02:00,1052,Panne mécanique,2022-06-26,Essence,Higgins,Assistance,1,0,0,0,0,0,0,2022-06,2662.0,3.0,44.36666666666667,Apprentissage,2022-06
7961582,C1,F6,2021-06-12,11:41:00,841,Vol / Vandalisme,2021-06-12,Essence,MCS,Assistance,1,0,0,0,0,0,0,2021-06,2050.0,3.0,34.166666666666664,Apprentissage,2021-06
8452549,C4,F4,2022-11-08,19:21:00,716,Panne mécanique,2022-11-08,Diesel,MCS,Assistance,1,0,0,0,0,0,0,2022-11,0.0,1.0,0.0,Test,2022-11
6435738,C5,F99,2022-02-18,18:53:00,2001,Panne mécanique,2022-02-18,Diesel,MCS,Assistance,1,0,1,0,0,0,0,2022-02,2181.0,4.0,36.35,Apprentissage,2022-02
8096835,C25,F79,2022-09-30,15:47:00,1132,Panne mécanique,2022-09-30,Diesel,MCS,Assistance,1,0,0,0,0,0,0,2022-09,1054.0,3.0,17.566666666666666,Apprentissage,2022-09
7778533,C3,F24,2021-06-10,08:26:00,439,Panne mécanique,2021-06-10,Essence,Higgins,Assistance,1,0,0,0,0,0,0,2021-06,222.0,1.0,3.7,Apprentissage,2021-06
8183046,C7,F12,2022-09-07,15:28:00,466,Panne mécanique,2022-09-07,Diesel,MCS,Assistance,0,1,0,0,0,0,0,2022-09,1630.0,4.0,27.166666666666668,Apprentissage,2022-09
7240140,C3,F3,2022-08-04,23:44:00,2165,Panne mécanique,2022-08-04,Diesel,MCS,Assistance,1,0,0,0,0,0,0,2022-08,156.0,1.0,2.6,Apprentissage,2022-08
7675519,C3,F3,2021-01-18,18:19:00,620,Panne mécanique,2021-01-18,Diesel,MCS,Assistance,1,0,1,0,0,0,0,2021-01,3687.0,12.0,61.45,Apprentissage,2021-01
7500090,C8,F40,2022-03-21,10:17:00,1188,Panne mécanique,2022-03-21,Essence,MCS,Assistance,1,0,0,0,0,0,0,2022-03,311.0,2.0,5.183333333333334,Apprentissage,2022-03
7691695,C16,F227,2021-05-19,17:08:00,207,"Clés, Carburant, Crevaison",2021-05-19,Essence,MCS,Assistance,1,0,0,0,0,0,0,2021-05,484.0,2.0,8.066666666666666,Apprentissage,2021-05
7851638,C1,F6,2021-05-27,10:15:00,171,Panne mécanique,2021-05-25,Essence,MCS,Assistance,1,0,0,0,0,0,1,2021-05,,,,Test,2021-05
5575543,C3,F5,2021-04-03,11:31:00,1253,Panne mécanique,2021-04-03,Diesel,MCS,Assistance,1,0,1,0,0,0,0,2021-04,1620.0,9.0,27.0,Apprentissage,2021-04
6453045,C4,F4,2022-11-21,07:33:00,788,Panne mécanique,2022-11-21,Diesel,MCS,Assistance,1,0,0,0,0,0,0,2022-11,286.0,2.0,4.766666666666667,Apprentissage,2022-11
6723238,C11,F25,2022-04-13,14:13:00,1871,Panne mécanique,2022-04-13,Essence,MCS,Assistance,1,0,0,0,0,0,0,2022-04,409.0,1.0,6.816666666666666,Apprentissage,2022-04
6532545,C3,F5,2021-12-10,14:25:00,341,Accident,2021-12-10,Essence,MCS,Assistance,1,1,0,0,0,0,0,2021-12,1411.0,4.0,23.516666666666666,Apprentissage,2021-12
6093752,C4,F4,2021-01-26,17:34:00,1632,Panne mécanique,2021-01-26,Diesel,MCS,Assistance,1,0,0,0,0,0,0,2021-01,456.0,2.0,7.6,Apprentissage,2021-01
5971331,C12,F26,2021-10-26,09:52:00,680,Accident,2021-10-26,Autre,MCS,Assistance,1,0,0,0,0,0,0,2021-10,1776.0,4.0,29.6,Apprentissage,2021-10
7600509,C1,F0,2022-08-24,12:05:00,1905,Vol / Vandalisme,2022-08-24,Essence,Higgins,Assistance,1,0,0,0,0,0,0,2022-08,1651.0,3.0,27.516666666666666,Apprentissage,2022-08
8509437,C1,F0,2021-06-03,14:02:00,1836,"Clés, Carburant, Crevaison",2021-06-03,Diesel,MCS,Assistance,1,0,0,0,0,0,0,2021-06,0.0,2.0,0.0,Test,2021-06
6810416,C10,F17,2022-09-13,08:36:00,1602,Panne mécanique,2022-09-13,Diesel,MCS,Assistance,1,0,0,0,0,0,0,2022-09,395.0,2.0,6.583333333333333,Apprentissage,2022-09
6115249,C7,F72,2021-01-13,15:13:00,310,"Clés, Carburant, Crevaison",2021-01-13,Diesel,MCS,Assistance,1,0,0,0,0,1,0,2021-01,2252.0,6.0,37.53333333333333,Apprentissage,2021-01
6584977,C1,,2022-12-19,17:45:00,171,Panne mécanique,2022-12-17,Essence,MCS,Assistance,1,0,0,0,0,0,1,2022-12,,,,Test,2022-12
5674924,C4,F4,2022-12-19,11:12:00,1020,Panne mécanique,2022-12-19,Essence,MCS,Assistance,1,0,0,0,0,0,0,2022-12,4110.0,2.0,68.5,Apprentissage,2022-12
6445283,C4,F23,2022-05-10,13:35:00,519,Panne mécanique,2022-05-10,Diesel,Higgins,Assistance,1,0,0,0,0,0,0,2022-05,4002.0,5.0,66.7,Apprentissage,2022-05
8379262,C3,F5,2021-07-12,10:22:00,2271,Panne mécanique,2021-07-12,Essence,Higgins,Assistance,1,0,1,0,0,0,0,2021-07,0.0,3.0,0.0,Test,2021-07
7115126,C3,F10,2022-02-15,15:31:00,428,Panne mécanique,2022-02-15,Essence,MCS,Assistance,1,0,1,0,1,0,0,2022-02,2853.0,8.0,47.55,Apprentissage,2022-02
8275323,C3,,2022-03-28,21:21:00,1542,Panne mécanique,2022-03-28,Diesel,Higgins,Assistance,1,0,0,0,0,0,0,2022-03,0.0,1.0,0.0,Test,2022-03
6497390,C0,,2021-06-15,09:51:00,1714,Panne mécanique,2021-06-15,Essence,MCS,Assistance,1,0,0,0,0,0,0,2021-06,276.0,2.0,4.6,Apprentissage,2021-06
8504292,C18,F34,2022-12-23,10:40:00,633,Panne mécanique,2022-12-23,Diesel,MCS,Assistance,0,1,0,0,0,0,0,2022-12,0.0,1.0,0.0,Test,2022-12
7039211,C7,F12,2021-08-27,18:57:00,1835,Panne mécanique,2021-08-27,Diesel,MCS,Assistance,1,0,0,0,0,0,0,2021-08,397.0,1.0,6.616666666666666,Apprentissage,2021-08
7964253,C4,F4,2022-11-29,11:35:00,1095,Panne mécanique,2022-11-29,Diesel,MCS,Assistance,1,0,0,0,0,0,0,2022-11,402.0,2.0,6.7,Apprentissage,2022-11
6164422,C4,F14,2021-10-28,12:26:00,1635,Panne mécanique,2021-10-28,Essence,MCS,Assistance,1,0,0,0,0,0,0,2021-10,252.0,2.0,4.2,Apprentissage,2021-10
6489940,C4,F134,2022-09-20,14:45:00,286,Panne mécanique,2022-09-08,Autre,MCS,Administratif,0,0,0,0,0,1,0,2022-09,2537.0,5.0,42.28333333333333,Apprentissage,2022-09
8393301,C3,F3,2022-06-30,14:55:00,289,Panne mécanique,2022-06-30,Essence,MCS,Assistance,1,0,0,0,0,0,0,2022-06,0.0,2.0,0.0,Test,2022-06
